agent_number,frequency,with_delivering,without_delivering
10,0.2,27.714,27.114
20,0.2,24.568,24.626
30,0.2,23.684,23.53
40,0.2,23.058,23.138
50,0.2,22.782,22.856
10,0.5,106.162,135.648
20,0.5,26.392,25.988
30,0.5,24.248,24.304
40,0.5,23.644,23.534
50,0.5,23.164,23.068
10,1.0,247.926,263.784
20,1.0,63.97,75.15
30,1.0,27.488,27.382
40,1.0,24.682,24.532
50,1.0,23.724,23.678
10,2.0,333.322,344.764
20,2.0,133.488,141.47
30,2.0,70.514,77.224
40,2.0,43.996,47.658
50,2.0,29.666,31.706
10,5.0,390.552,396.59
20,5.0,183.758,190.984
30,5.0,118.734,123.368
40,5.0,87.58,89.218
50,5.0,68.274,71.262
10,10.0,404.586,412.22
20,10.0,204.744,206.938
30,10.0,136.344,140.942
40,10.0,103.234,107.552
50,10.0,85.092,87.196
